Team,AvAge,PTS,PTS%,GF,GA,SRS,GF/G,GA/G,PP%,PPA,PK%,SH,S,S%,SA,SV%,Year,IsChamp
Dallas Stars*,29.3,113,0.689,294,232,0.74,3.59,2.83,24.17,43,82.01,12,2588,11.4,2350,0.901,2024,False
Carolina Hurricanes*,29.4,111,0.677,277,211,0.73,3.38,2.57,26.91,35,86.43,11,2733,10.1,2101,0.9,2024,False
Winnipeg Jets*,29.4,110,0.671,259,198,0.69,3.16,2.41,18.75,51,77.13,3,2488,10.4,2429,0.918,2024,False
Florida Panthers*,29.5,110,0.671,265,198,0.81,3.23,2.41,23.51,51,82.47,8,2764,9.6,2279,0.913,2024,True
Boston Bruins*,28.6,109,0.665,263,221,0.53,3.21,2.7,22.22,47,82.46,7,2399,11.0,2504,0.912,2024,False
Vancouver Canucks*,28.6,109,0.665,279,221,0.64,3.4,2.7,22.57,53,79.13,7,2328,12.0,2343,0.906,2024,False
Colorado Avalanche*,28.8,107,0.652,302,252,0.57,3.68,3.07,24.46,53,79.92,7,2705,11.2,2444,0.897,2024,False
Edmonton Oilers*,29.4,104,0.634,292,236,0.65,3.56,2.88,26.34,53,79.46,7,2768,10.5,2307,0.898,2024,False
Toronto Maple Leafs*,28.9,102,0.622,298,261,0.5,3.63,3.18,23.95,55,76.89,6,2671,11.2,2446,0.893,2024,False
Nashville Predators*,29.5,99,0.604,266,248,0.23,3.24,3.02,21.56,57,76.92,7,2642,10.1,2507,0.901,2024,False
Los Angeles Kings*,29.5,99,0.604,254,210,0.45,3.1,2.56,22.58,39,84.58,11,2616,9.7,2296,0.909,2024,False
Tampa Bay Lightning*,29.1,98,0.598,288,267,0.28,3.51,3.26,28.63,39,83.33,5,2401,12.0,2430,0.89,2024,False
Vegas Golden Knights*,29.0,98,0.598,263,243,0.22,3.21,2.96,20.24,44,79.34,9,2548,10.3,2487,0.902,2024,False
New York Islanders*,29.6,94,0.573,245,258,-0.18,2.99,3.15,20.35,63,71.49,10,2470,9.9,2686,0.904,2024,False
St. Louis Blues,29.0,92,0.561,234,248,-0.14,2.85,3.02,18.0,46,78.6,11,2370,9.9,2636,0.906,2024,False
Washington Capitals*,30.0,91,0.555,216,252,-0.41,2.63,3.07,20.61,49,78.97,3,2172,9.9,2503,0.899,2024,False
Detroit Red Wings,29.3,91,0.555,275,273,0.06,3.35,3.33,23.08,49,79.58,7,2375,11.6,2657,0.897,2024,False
Pittsburgh Penguins,31.3,88,0.537,253,248,0.05,3.09,3.02,15.27,47,80.66,5,2685,9.4,2479,0.9,2024,False
Minnesota Wild,29.3,87,0.53,248,260,-0.14,3.02,3.17,22.71,67,74.52,3,2471,10.0,2437,0.893,2024,False
Philadelphia Flyers,27.1,87,0.53,231,258,-0.29,2.82,3.15,12.2,40,83.4,16,2708,8.5,2225,0.884,2024,False
Buffalo Sabres,25.7,84,0.512,244,243,0.03,2.98,2.96,16.59,49,79.84,7,2534,9.6,2402,0.899,2024,False
New Jersey Devils,26.8,81,0.494,264,281,-0.22,3.22,3.43,22.45,47,80.66,3,2516,10.5,2458,0.886,2024,False
Seattle Kraken,29.4,81,0.494,214,232,-0.26,2.61,2.83,20.66,47,78.83,6,2347,9.1,2391,0.903,2024,False
Calgary Flames,29.2,81,0.494,253,267,-0.2,3.09,3.26,17.86,47,80.82,11,2572,9.8,2438,0.89,2024,False
Ottawa Senators,27.0,78,0.476,250,281,-0.28,3.05,3.43,18.02,61,75.1,7,2602,9.6,2432,0.884,2024,False
Arizona Coyotes,26.7,77,0.47,254,274,-0.21,3.1,3.34,21.99,63,76.32,7,2273,11.2,2598,0.895,2024,False
Montreal Canadiens,26.7,76,0.463,232,281,-0.59,2.83,3.43,17.46,65,76.53,7,2269,10.2,2738,0.897,2024,False
Columbus Blue Jackets,26.8,66,0.402,234,298,-0.72,2.85,3.63,15.09,56,76.27,5,2458,9.5,2822,0.894,2024,False
Anaheim Ducks,27.7,59,0.36,203,293,-1.09,2.48,3.57,18.3,91,72.42,12,2194,9.3,2666,0.89,2024,False
Chicago Blackhawks,27.4,52,0.317,178,289,-1.29,2.17,3.52,16.6,56,75.76,3,2153,8.3,2681,0.892,2024,False
San Jose Sharks,27.7,47,0.287,180,326,-1.78,2.2,3.98,20.19,62,75.4,3,2069,8.7,2881,0.887,2024,False
Winnipeg Jets*,29.7,116,0.707,275,190,1.02,3.35,2.32,28.9,41,79.4,4,2314,11.9,2229,0.915,2025,False
Washington Capitals*,29.5,111,0.677,286,229,0.66,3.49,2.79,23.53,43,82.01,8,2265,12.6,2229,0.897,2025,False
Vegas Golden Knights*,29.4,110,0.671,274,214,0.65,3.34,2.61,28.34,41,75.74,6,2482,11.0,2141,0.9,2025,False
Toronto Maple Leafs*,29.4,108,0.659,267,229,0.44,3.26,2.79,24.77,52,77.87,6,2297,11.6,2405,0.905,2025,False
Dallas Stars*,28.5,106,0.646,275,222,0.61,3.35,2.71,22.0,41,82.02,8,2325,11.8,2382,0.907,2025,False
Los Angeles Kings*,29.4,105,0.64,249,203,0.5,3.04,2.48,17.87,44,81.43,4,2302,10.8,2091,0.903,2025,False
Tampa Bay Lightning*,29.7,102,0.622,292,216,0.89,3.56,2.63,25.86,38,81.55,11,2341,12.5,2311,0.907,2025,False
Colorado Avalanche*,28.7,102,0.622,273,231,0.5,3.33,2.82,24.79,42,79.81,5,2451,11.1,2126,0.891,2025,False
Edmonton Oilers*,30.4,101,0.616,259,235,0.26,3.16,2.87,23.72,45,78.16,5,2622,9.9,2211,0.894,2025,False
Carolina Hurricanes*,29.6,99,0.604,266,230,0.4,3.24,2.8,18.7,40,83.61,10,2599,10.2,2044,0.887,2025,False
Florida Panthers*,29.6,98,0.598,246,223,0.35,3.0,2.72,23.53,47,80.74,12,2588,9.5,2146,0.896,2025,True
Minnesota Wild*,29.7,97,0.591,225,236,-0.13,2.74,2.88,20.87,56,72.41,4,2263,9.9,2427,0.903,2025,False
Ottawa Senators*,28.2,97,0.591,242,232,0.11,2.95,2.83,23.79,51,77.73,9,2403,10.1,2346,0.901,2025,False
Calgary Flames,28.4,96,0.585,220,236,-0.17,2.68,2.88,21.03,54,76.11,7,2414,9.1,2372,0.901,2025,False
St. Louis Blues*,29.3,96,0.585,250,231,0.25,3.05,2.82,22.05,49,74.35,4,2185,11.4,2236,0.897,2025,False
Montreal Canadiens*,26.9,91,0.555,243,261,-0.23,2.96,3.18,20.09,49,80.93,9,2095,11.6,2383,0.89,2025,False
New Jersey Devils*,29.6,91,0.555,240,220,0.24,2.93,2.68,28.24,39,82.67,7,2303,10.4,2160,0.898,2025,False
Vancouver Canucks,28.6,90,0.549,233,251,-0.22,2.84,3.06,22.52,39,82.59,4,2094,11.1,2198,0.886,2025,False
Columbus Blue Jackets,27.6,89,0.543,267,267,0.06,3.26,3.26,19.46,50,76.96,9,2382,11.2,2453,0.891,2025,False
Utah Hockey Club,27.7,89,0.543,240,247,-0.11,2.93,3.01,24.15,52,79.28,4,2339,10.3,2271,0.891,2025,False
Detroit Red Wings,29.5,86,0.524,235,259,-0.23,2.87,3.16,27.0,55,70.11,2,2249,10.4,2335,0.889,2025,False
New York Rangers,28.9,85,0.518,255,255,0.01,3.11,3.11,17.62,47,80.33,18,2344,10.9,2451,0.896,2025,False
New York Islanders,29.7,82,0.5,222,257,-0.43,2.71,3.13,12.56,50,72.22,9,2418,9.2,2356,0.891,2025,False
Pittsburgh Penguins,30.9,80,0.488,242,287,-0.59,2.95,3.5,25.79,48,77.78,5,2323,10.4,2470,0.884,2025,False
Anaheim Ducks,27.4,80,0.488,217,261,-0.49,2.65,3.18,11.76,64,74.19,3,2270,9.6,2648,0.901,2025,False
Buffalo Sabres,26.1,79,0.482,265,287,-0.24,3.23,3.5,18.78,57,76.35,10,2278,11.6,2368,0.879,2025,False
Boston Bruins,28.1,76,0.463,222,271,-0.57,2.71,3.3,15.22,56,76.27,6,2173,10.2,2346,0.884,2025,False
Seattle Kraken,28.9,76,0.463,245,262,-0.23,2.99,3.2,18.94,44,77.2,3,2243,10.9,2342,0.888,2025,False
Philadelphia Flyers,26.8,76,0.463,232,283,-0.56,2.83,3.45,14.95,45,77.61,4,2212,10.5,2210,0.872,2025,False
Nashville Predators,29.9,68,0.415,212,274,-0.69,2.59,3.34,21.83,45,81.48,1,2403,8.8,2342,0.883,2025,False
Chicago Blackhawks,28.1,61,0.372,224,292,-0.83,2.73,3.56,24.87,47,79.3,6,2005,11.2,2550,0.885,2025,False
San Jose Sharks,27.2,52,0.317,208,310,-1.24,2.54,3.78,18.58,66,74.22,5,2203,9.4,2606,0.881,2025,False
Colorado Avalanche*,30.7,121,0.738,298,197,1.14,3.63,2.4,17.11,36,84.62,2,2766,10.8,2144,0.908,2026,False
Carolina Hurricanes*,29.4,113,0.689,291,236,0.69,3.55,2.88,24.9,45,80.52,12,2637,11.0,1961,0.88,2026,False
Dallas Stars*,28.7,112,0.683,273,222,0.61,3.33,2.71,28.63,49,80.32,4,2074,13.2,2145,0.897,2026,False
Buffalo Sabres*,26.8,109,0.665,283,240,0.59,3.45,2.93,19.51,42,81.9,11,2307,12.3,2381,0.899,2026,False
Tampa Bay Lightning*,30.0,106,0.646,286,229,0.73,3.49,2.79,20.73,45,82.56,6,2305,12.4,2188,0.895,2026,False
Montreal Canadiens*,26.2,106,0.646,279,251,0.37,3.4,3.06,23.14,54,78.23,8,2156,12.9,2283,0.89,2026,False
Minnesota Wild*,29.2,104,0.634,268,235,0.35,3.27,2.87,25.19,43,79.81,7,2393,11.2,2410,0.902,2026,False
Boston Bruins*,28.5,100,0.61,268,247,0.31,3.27,3.01,23.4,64,76.98,2,2216,12.1,2435,0.899,2026,False
Ottawa Senators*,28.9,99,0.604,275,245,0.4,3.35,2.99,23.95,57,75.85,8,2369,11.6,2001,0.878,2026,False
Pittsburgh Penguins*,30.2,98,0.598,290,258,0.33,3.54,3.15,24.14,44,81.43,6,2342,12.4,2246,0.885,2026,False
Philadelphia Flyers*,27.7,98,0.598,240,239,0.13,2.93,2.91,15.74,55,77.55,7,2088,11.5,2087,0.885,2026,False
Washington Capitals,29.3,95,0.579,261,238,0.25,3.18,2.9,17.84,50,80.16,4,2299,11.4,2307,0.897,2026,False
Vegas Golden Knights*,29.5,95,0.579,264,242,0.13,3.22,2.95,24.47,38,81.37,6,2377,11.1,1999,0.879,2026,False
Edmonton Oilers*,29.7,93,0.567,282,265,0.09,3.44,3.23,30.63,49,77.83,6,2439,11.6,2188,0.879,2026,False
Anaheim Ducks*,27.7,92,0.561,265,288,-0.24,3.23,3.51,18.56,61,76.36,8,2526,10.5,2326,0.876,2026,False
Detroit Red Wings,29.1,92,0.561,239,254,-0.16,2.91,3.1,22.58,48,77.14,3,2315,10.3,2275,0.888,2026,False
Columbus Blue Jackets,28.0,92,0.561,246,251,0.04,3.0,3.06,18.91,53,76.02,5,2410,10.2,2363,0.894,2026,False
Utah Mammoth*,28.9,92,0.561,268,240,0.3,3.27,2.93,20.0,54,78.14,8,2274,11.8,2141,0.888,2026,False
New York Islanders,29.6,91,0.555,229,236,-0.06,2.79,2.88,16.53,41,80.84,9,2310,9.9,2270,0.896,2026,False
Los Angeles Kings*,31.1,90,0.549,220,238,-0.32,2.68,2.9,16.96,61,74.58,7,2297,9.6,2228,0.893,2026,False
New Jersey Devils,29.7,87,0.53,226,253,-0.24,2.76,3.09,21.95,43,79.33,7,2426,9.3,2244,0.887,2026,False
Nashville Predators,29.8,86,0.524,242,267,-0.28,2.95,3.26,23.11,45,81.71,8,2285,10.6,2430,0.89,2026,False
San Jose Sharks,27.3,86,0.524,249,290,-0.53,3.04,3.54,21.18,58,76.42,3,2111,11.8,2431,0.881,2026,False
St. Louis Blues,28.3,86,0.524,230,254,-0.35,2.8,3.1,17.59,52,76.58,6,2075,11.1,2272,0.888,2026,False
Florida Panthers,30.2,84,0.512,246,274,-0.25,3.0,3.34,19.62,52,80.95,6,2292,10.7,2197,0.875,2026,False
Winnipeg Jets,30.8,82,0.5,229,256,-0.36,2.79,3.12,18.5,51,77.63,6,2162,10.6,2277,0.888,2026,False
Seattle Kraken,29.2,79,0.482,224,257,-0.48,2.73,3.13,19.46,60,72.22,2,2099,10.7,2415,0.894,2026,False
Toronto Maple Leafs,29.5,78,0.476,252,295,-0.5,3.07,3.6,21.32,43,81.22,6,2159,11.7,2660,0.889,2026,False
Calgary Flames,28.2,77,0.47,208,256,-0.59,2.54,3.12,16.16,48,80.41,11,2305,9.0,2453,0.896,2026,False
New York Rangers,29.2,77,0.47,235,249,-0.1,2.87,3.04,24.65,50,79.92,6,2066,11.4,2363,0.895,2026,False
Chicago Blackhawks,26.3,72,0.439,210,270,-0.76,2.56,3.29,16.95,39,83.61,6,2015,10.4,2457,0.89,2026,False
Vancouver Canucks,28.0,58,0.354,210,314,-1.22,2.56,3.83,21.79,65,71.49,9,2128,9.9,2446,0.872,2026,False
